Repositorio/Año,Mes,Categoría,Nombre del archivo,Ruta completa,Tamaño del archivo (bytes),Palabras clave detectadas
2015,Mayo,Clientes,SQLQueryCaliRCCClientesDesertores_Centro.sql,Mayo2015/Gest_Desertores_SGN/CorrecionRCC_ClientesDesertores/SQLQueryCaliRCCClientesDesertores_Centro.sql,3369,"cli, rcc"
2015,Mayo,Garantías,SQLQueryGarantWS.sql,Mayo2015/GarantiasWS/SQLQueryGarantWS.sql,5594,gar
2015,Mayo,Otros,SQLQueryTEM_JoseZurita.sql,Mayo2015/TEM_JoseZurita/SQLQueryTEM_JoseZurita.sql,1083,
2015,Mayo,Créditos,SQLQueryDetGarantia.sql,Mayo2015/HipotecariosWS/SQLQueryDetGarantia.sql,723,"hipot, gar"
2015,Mayo,Créditos,SQLQueryGarantias.sql,Mayo2015/HipotecariosWS/SQLQueryGarantias.sql,3215,"hipot, gar"
2015,Mayo,Créditos,SQLQueryGarHistCred.sql,Mayo2015/HipotecariosWS/SQLQueryGarHistCred.sql,4770,"cred, gar"
2015,Mayo,Créditos,SQLQueryHipotecarioWS.sql,Mayo2015/HipotecariosWS/SQLQueryHipotecarioWS.sql,8197,hipot
2015,Mayo,Expedientes,SQLQueryExperian.sql,Mayo2015/BdPilotoEli/SQLQueryExperian.sql,3885,exp
2015,Mayo,Otros,SQLQueryRelacionAsesores.sql,Mayo2015/OscarYance/SQLQueryRelacionAsesores.sql,1361,
2015,Mayo,Garantías,SQL_GARANTIAS.sql,Mayo2015/FernandoTI/Garantias/SQL_GARANTIAS.sql,5857,gar
2015,Mayo,Otros,SQLQueryAprobaciones.sql,Mayo2015/JoseZurita/SQLQueryAprobaciones.sql,4269,
2015,Mayo,Otros,SQLQueryPagosAnticipados.sql,Mayo2015/JoseZurita/SQLQueryPagosAnticipados.sql,1220,
2015,Mayo,Otros,SQLQueryAmpliaDetalle.sql,Mayo2015/Ampliaciones/SQLQueryAmpliaDetalle.sql,10720,
2015,Mayo,Otros,SQLQueryAmpliaciones.sql,Mayo2015/Ampliaciones/SQLQueryAmpliaciones.sql,31598,
2015,Mayo,Otros,SQLQueryAmpliaV00.sql,Mayo2015/Ampliaciones/SQLQueryAmpliaV00.sql,14388,
2015,Mayo,Otros,SQLQuerySPAmpliaV01.sql,Mayo2015/Ampliaciones/SQLQuerySPAmpliaV01.sql,10289,
2015,Mayo,Otros,SQLQueryFinalAmpliaciones.sql,Mayo2015/Ampliaciones/SQLQueryFinalAmpliaciones.sql,8875,
2015,Mayo,Garantías,SQLQuerySPGarantias.sql,Mayo2015/PlazoFijoZurita/SQLQuerySPGarantias.sql,14681,gar
2015,Mayo,Garantías,SQLQueryGarPlazoFijo.sql,Mayo2015/PlazoFijoZurita/SQLQueryGarPlazoFijo.sql,2868,gar
2015,Mayo,Garantías,SQLQueryGarPFDetalles.sql,Mayo2015/PlazoFijoZurita/SQLQueryGarPFDetalles.sql,2337,gar
2015,Mayo,Garantías,SQLQueryGarPF.sql,Mayo2015/PlazoFijoZurita/SQLQueryGarPF.sql,14874,gar
2015,Mayo,Otros,SQLQueryCRI.sql,Mayo2015/CRICMAC_HYO/SQLQueryCRI.sql,854,
2015,Mayo,Otros,SQLQueryEmpJulia.sql,Mayo2015/SolEmpresaJulia/SQLQueryEmpJulia.sql,1048,
2015,Mayo,Otros,SQLQueryBeliNoMinorista.sql,Mayo2015/BelissaNoMinorista/SQLQueryBeliNoMinorista.sql,2715,
2015,Mayo,Otros,SQLQueryResultado.sql,Mayo2015/Belissa_3_Indicadores/RESULTADO/SQLQueryResultado.sql,1415,
2015,Mayo,Clientes,SQLQueryNewClientes.sql,Mayo2015/Reporte Clientes Nuevos/SQLQueryNewClientes.sql,5085,cli
2015,Julio,Expedientes,SQLQueryExpNancy.sql,Julio2015/NancyExpedientes/SQLQueryExpNancy.sql,2207,exp
2015,Julio,Créditos,SQLQueryCPCredCanc.sql,Julio2015/CarlitosPurisCredCanc/SQLQueryCPCredCanc.sql,7963,cred
2015,Julio,Otros,QueryCri.sql,Julio2015/CRICMACHYO_DIARIO/QueryCri.sql,1179,
2015,Julio,Cartera,SQLQueryCFBelaunde.sql,Julio2015/CartaFianzaBelaunde/SQLQueryCFBelaunde.sql,3397,cart
2015,Julio,Cartera,QueryCFAUI.sql,Julio2015/CartasFianzasUAI/QueryCFAUI.sql,7632,cart
2015,Julio,Cartera,QueryGarantiaCF.sql,Julio2015/CartasFianzasUAI/GarantiasCartaFianza/QueryGarantiaCF.sql,2261,"cart, gar"
2015,Julio,Créditos,QueryCredHipViv.sql,Julio2015/CredHipoteMiViv/QueryCredHipViv.sql,2482,cred
2015,Julio,Créditos,CredCampQuery.sql,Julio2015/CreditosCampanias/CredCampQuery.sql,2711,cred
2015,Julio,Cartera,SQLQueryCSJL.sql,Julio2015/CarteraSanJuanLurigancho/SQLQueryCSJL.sql,2405,cart
2015,Julio,Otros,QueryAccRepre.sql,Julio2015/AccioRepre/QueryAccRepre.sql,1406,
2015,Julio,Cartera,SQLQueryCartAgCaniete.sql,Julio2015/CarteraAgCaniete/SQLQueryCartAgCaniete.sql,3793,cart
2015,Julio,Cartera,QueryGarantiaCFRango.sql,Julio2015/CartasFianzasRango/QueryGarantiaCFRango.sql,10939,"cart, gar"
2015,Julio,Créditos,QueryCredUnicuotas.sql,Julio2015/CreditosUnicuota/QueryCredUnicuotas.sql,3664,cred
2015,Julio,Cartera,QueryCarteraCesados.sql,Julio2015/CarteraCesadosSusan/QueryCarteraCesados.sql,5368,cart
